Customer_ID,Age,Gender,City,Purchase_Amount,Quantity,Payment _Mode,
8270,49,F,,6354.36,1,UPI,
1860,38,male,Bangalore,4871.77,1,Cash,
6390,21,Female,Mumbai,4959.12,2,Card,
6191,58,male,Delhi,2312.46,4,UPI,
6734,22,M,Delhi,2579.04,2,card,
7265,55,male,Kolkata,4604.61,3,Cash,
1466,44,Male,Chennai,7357.88,100,UPI,
5426,36,Female,Mumbai,7099.17,4,Cash,
6578,48,Female,Chennai,2653.17,5,card,
9322,57,female,Kolkata,5073.2,1,UPI,
2685,66,M,Bangalore,8214.02,5,card,
1769,29,F,Delhi,6578.01,-1,Cash,
7949,67,male,Chennai,5223.97,3,Card,
3433,67,male,Delhi,3419.36,2,card,
6311,59,female,Kolkata,5598.24,1,UPI,
6051,63,male,,6729.27,1,card,
7420,53,male,Bangalore,4663.63,5,Cash,
2184,,M,Mumbai,5631.21,2,cash,
5555,46,male,Chennai,3270.61,100,UPI,
4385,56,female,Delhi,6112.69,100,card,
7396,66,female,Bangalore,4755.88,100,Cash,
9666,46,Male,Delhi,3596.13,1,Cash,
3558,58,female,Delhi,7061.12,2,Card,
8849,53,female,Kolkata,7484.33,2,UPI,
3047,30,male,Bangalore,1234.24,5,Card,
3747,23,Male,Kolkata,4145.82,2,Card,
1189,56,male,Kolkata,3773.45,2,Card,
3734,28,F,Chennai,4597.48,100,UPI,
4005,28,female,,6050.55,2,UPI,
5658,50,male,,1845.31,3,cash,
2899,58,Female,Mumbai,6999.62,-1,UPI,
8734,47,female,Mumbai,3512.74,2,card,
2267,63,male,Kolkata,3352.6,100,Card,
2528,26,F,Kolkata,5865.78,1,cash,
4556,29,male,Delhi,7694.33,5,Card,
4890,50,female,Delhi,5808.49,3,Cash,
9838,60,female,Bangalore,5074.47,5,Cash,
6393,44,F,Chennai,3502.24,-1,card,
9792,,Male,Kolkata,4947.05,5,card,
9433,52,M,Delhi,3957.87,5,card,
8513,59,M,,2132.49,100,Cash,
3612,30,Male,Mumbai,5276.68,100,UPI,
8041,18,female,Kolkata,6997.51,3,cash,
7235,43,male,Chennai,4429.03,5,card,
6486,,Female,Chennai,8446.99,5,UPI,
8099,38,Female,Kolkata,4132.69,4,Card,
1775,,F,,3198.55,3,Cash,
9226,27,male,Delhi,9663.44,5,cash,
4152,36,female,Mumbai,5168.49,-1,UPI,
2585,21,F,Delhi,4449.45,-1,cash,
4943,21,male,Kolkata,5187.27,2,Card,
8555,60,male,Delhi,5208.86,2,cash,
4073,,male,Bangalore,3900.72,4,Card,
2021,52,Female,Bangalore,5113.96,4,Card,
4843,59,F,Delhi,3913.59,100,UPI,
8989,22,Male,Bangalore,2426.59,2,Cash,
7873,25,Male,Delhi,3728.08,5,UPI,
6675,50,M,Bangalore,3073.07,4,Card,
1161,32,Female,Chennai,4728.69,4,Cash,
5297,41,Male,Mumbai,3675.66,2,cash,
1995,61,Male,Bangalore,8541.63,4,UPI,
8629,22,F,Mumbai,5449.44,4,cash,
2016,49,M,Chennai,780.84,5,UPI,
8869,66,F,Mumbai,2245.64,100,cash,
7439,18,Female,,5061.59,1,cash,
8892,18,F,Delhi,6156.03,4,UPI,
7863,45,male,Chennai,5673.05,-1,card,
8916,67,female,Chennai,5961.96,-1,cash,
9529,27,F,Kolkata,3482.8,4,card,
1878,33,Female,,9029.3,-1,Cash,
5887,20,M,Delhi,3639.2,3,Cash,
5859,35,F,,6730.15,-1,cash,
7331,,Male,Delhi,2017.28,4,Cash,
9571,36,Female,Bangalore,2011.26,2,card,
9684,45,Male,Mumbai,5817.78,2,cash,
8208,68,female,Mumbai,6408.89,100,Cash,
6276,60,F,,3227.73,-1,Card,
3062,60,female,Bangalore,7187.8,100,Cash,
1064,27,M,Mumbai,5790.41,4,Cash,
9006,20,female,Bangalore,5429.93,1,Cash,
3568,48,M,Chennai,5728.51,5,UPI,
6463,43,F,Chennai,5344.98,2,card,
3027,43,Female,Bangalore,2947.35,5,cash,
3695,21,male,Kolkata,8267.49,100,Card,
6258,42,F,Delhi,6617.07,2,Cash,
6618,23,F,Chennai,4753.05,100,card,
7736,38,M,,7135.76,5,Card,
1391,18,F,Delhi,8127.7,1,cash,
6892,62,F,Kolkata,6925.96,5,Cash,
4561,,M,Chennai,5922.43,5,Card,
7184,66,M,Delhi,3608.5,4,cash,
4099,62,Female,,3676.77,3,card,
7278,56,Male,Bangalore,1195.2,-1,UPI,
9392,69,F,Bangalore,5483.85,2,UPI,
4104,18,male,,4881.51,4,Cash,
8215,50,male,Chennai,374.09,2,Cash,
3454,61,F,Mumbai,189.97,5,UPI,
9996,22,F,Kolkata,8333.68,4,UPI,
3731,47,female,Kolkata,1535.92,4,card,
9154,36,M,Chennai,5984.13,3,UPI,
6056,39,Female,,1968.64,1,cash,
9110,65,Female,Mumbai,7742.51,3,Card,
4840,44,M,Kolkata,6231.48,3,Card,
2028,20,male,,6025.35,100,Cash,
8385,66,Male,,3035.42,-1,Card,
1502,25,male,Mumbai,5800.66,100,cash,
7910,64,male,Mumbai,4101.11,100,Card,
7938,68,Male,,1923.05,-1,card,
5488,63,Male,Chennai,4285.2,2,UPI,
1206,52,Female,Delhi,3314.4,100,cash,
6134,55,Male,,3054.71,2,card,
6977,53,M,Kolkata,5458.19,5,Cash,
8721,40,Male,Mumbai,2005.58,5,cash,
8035,30,male,Bangalore,7913.09,2,UPI,
2484,30,M,Kolkata,6651.95,2,Cash,
8858,55,Male,Chennai,4456.62,-1,Cash,
1863,49,Female,Kolkata,8085.13,5,Card,
3790,47,Female,Chennai,3365.71,3,Cash,
8408,50,male,Kolkata,5400.19,1,Card,
9755,57,F,Bangalore,5694.57,2,UPI,
6116,56,male,Delhi,2497.52,-1,card,
7019,21,Male,,6761.02,1,UPI,
2757,35,male,Chennai,3268.79,1,cash,
8574,29,M,Kolkata,6346.9,100,Cash,
7374,44,female,Chennai,5189.88,4,UPI,
7892,18,male,,3440.41,4,card,
2678,56,Female,Bangalore,4561.05,2,card,
4242,21,M,Mumbai,5889.12,-1,Cash,
5636,30,female,Kolkata,6262.45,-1,card,
2059,58,Female,Mumbai,1397.06,100,cash,
7668,18,female,Chennai,5929.69,1,UPI,
4157,51,male,Delhi,3209.12,-1,Card,
6915,65,Male,Delhi,2419.44,2,card,
3693,49,male,Delhi,4817.76,1,cash,
4627,54,M,Chennai,3013.01,1,card,
6450,58,Female,Kolkata,4838.6,4,cash,
2663,27,male,Bangalore,3376.18,-1,Card,
6592,47,Male,Delhi,5514.02,1,cash,
8392,32,Male,Kolkata,6585.71,5,card,
2306,28,F,Bangalore,7209.65,4,Cash,
7776,25,female,,3424.22,3,cash,
6864,47,female,Bangalore,4232.42,1,UPI,
8526,58,Male,,2863.16,-1,card,
9901,63,male,Mumbai,3753.45,3,card,
6575,38,Male,Bangalore,3420.34,-1,Cash,
6530,35,Male,Kolkata,5753.6,-1,UPI,
5413,52,M,Bangalore,4658.99,100,cash,
4748,57,Male,Chennai,4910.32,2,Card,
1663,29,male,Mumbai,6738.55,3,Card,
2998,31,Male,Bangalore,6719.5,3,cash,
8994,44,Female,,3911.31,5,Cash,
2495,39,F,,-1790.96,2,Card,
4304,53,F,Bangalore,6893.59,2,Card,
4763,42,M,,6721.46,5,UPI,
6232,21,male,Delhi,3543.87,4,Card,
2853,24,female,Mumbai,5561.34,4,Card,
7585,64,male,Bangalore,8306.66,100,cash,
2291,27,M,Delhi,8374.7,100,Card,
4581,18,F,Mumbai,2730.64,5,UPI,
8554,55,Female,Chennai,4258.52,5,Card,
8280,52,F,Bangalore,1513.25,3,Card,
2636,48,F,Delhi,4046.86,100,cash,
4696,42,Female,Kolkata,3744.24,5,cash,
1698,68,F,,-132.98,100,Cash,
